postId;title;license;level;pdf;epub
26684;Birds;CC-BY-NC-4.0;Level 1;/en/pdf/Birds.pdf;/en/epub/Birds.epub
26685;Flowers;CC-BY-NC-4.0;Level 1;/en/pdf/Flowers.pdf;/en/epub/Flowers.epub
26686;Real Heroes;CC-BY-4.0;Level 4;/en/pdf/Real-Heroes.pdf;/en/epub/Real-Heroes.epub
26687;Dream Defenders;CC-BY-NC-4.0;Level 4;/en/pdf/Dream-Defenders.pdf;/en/epub/Dream-Defenders.epub
26688;Trees;CC-BY-NC-4.0;Level 1;/en/pdf/Trees.pdf;/en/epub/Trees.epub
26288;Coding Is Everywhere;CC-BY-4.0;Level 4;/en/pdf/Coding-Is-Everywhere.pdf;/en/epub/Coding-Is-Everywhere.epub
19481;Summertime Adventure;CC-BY-4.0;Emergent Readers;/en/pdf/Summertime-Adventure.pdf;/en/epub/Summertime-Adventure.epub
2506;Where is My Mother?;CC-BY-4.0;Level 2;/en/pdf/Where-is-My-Mother.pdf;/en/epub/Where-is-My-Mother.epub
26286;Dance, Mihlali!;CC-BY-4.0;Level 2;/en/pdf/Dance-Mihlali.pdf;/en/epub/Dance-Mihlali.epub
26284;Just Right!;CC-BY-NC-4.0;Level 3;/en/pdf/Just-Right.pdf;/en/epub/Just-Right.epub
1918;Lost in the Internet;CC-BY-4.0;Level 4;/en/pdf/Lost-in-the-Internet.pdf;/en/epub/Lost-in-the-Internet.epub
2464;We are not Alone;cc-by-nc-sa-4-0;Read Aloud;/en/pdf/We-are-not-Alone.pdf;/en/epub/We-are-not-Alone.epub
26107;Gul in Space;CC-BY-4.0;Level 5;/en/pdf/Gul-in-Space.pdf;/en/epub/Gul-in-Space.epub
1672;DIVE!;CC-BY-4.0;Level 3;/en/pdf/DIVE.pdf;/en/epub/DIVE.epub
1648;Cube Cat, Cone Cat;CC-BY-4.0;Level 2;/en/pdf/Cube-Cat-Cone-Cat.pdf;/en/epub/Cube-Cat-Cone-Cat.epub
1700;Finding Pluto;cc-by-nc-sa-4-0;Level 2;/en/pdf/Finding-Pluto.pdf;/en/epub/Finding-Pluto.epub
1716;Frog's Starry Wish;CC-BY-4.0;Level 2;/en/pdf/Frogs-Starry-Wish.pdf;/en/epub/Frogs-Starry-Wish.epub
